,Activity,SoraRank,elapsedTime,Current,Drink,Eat,Exercise,Grooming,Pee,Poop,Sleep,Teeth Clean,TimeDiff_Pee,TimeDiff_Exercise,TimeDiff_Poop,TimeDiff_Sleep,TimeDiff_Drink,TimeDiff_Eat,TimeDiff_Grooming,TimeDiff_Teeth Clean,hour,DOW_Friday,DOW_Monday,DOW_Saturday,DOW_Sunday,DOW_Thursday,DOW_Tuesday,DOW_Wednesday
1653,Drink,3.6363636363636362,0.03333333333333333,0.0,4.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.066666666666667,1.9,4.166666666666667,17.9,0.03333333333333333,2.7333333333333334,193.11666666666667,0.0,12.9,1,0,0,0,0,0,0
1654,Eat,3.6666666666666665,0.15,0.0,5.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.216666666666667,2.05,4.316666666666666,18.05,0.18333333333333332,2.6666666666666665,193.26666666666668,0.0,13.05,1,0,0,0,0,0,0
1655,Sleep,3.5555555555555554,0.45,0.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.6666666666666665,2.5,4.766666666666667,4.7,0.6333333333333333,3.1166666666666667,193.71666666666667,0.0,13.5,1,0,0,0,0,0,0
1656,Pee,4.0,1.0833333333333333,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.7333333333333334,3.5833333333333335,5.85,5.783333333333333,1.7166666666666666,4.2,194.8,0.0,14.583333333333334,1,0,0,0,0,0,0
1657,Sleep,4.0,0.65,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.3833333333333333,4.233333333333333,6.5,1.7333333333333334,2.3666666666666667,4.85,195.45,0.0,15.233333333333333,1,0,0,0,0,0,0
1659,Pee,3.6666666666666665,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.25,5.833333333333333,8.1,3.3333333333333335,3.966666666666667,6.45,43.833333333333336,0.0,16.833333333333332,1,0,0,0,0,0,0
1660,Sleep,3.75,0.3,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.55,6.133333333333334,8.4,1.9,4.266666666666667,6.75,44.13333333333333,0.0,17.133333333333333,1,0,0,0,0,0,0
1661,Sleep,3.75,1.0666666666666667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.6166666666666667,7.2,9.466666666666667,1.0666666666666667,5.333333333333333,7.816666666666666,45.2,0.0,18.2,1,0,0,0,0,0,0
1662,Exercise,3.75,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.75,6.0,9.6,1.2,5.466666666666667,7.95,45.333333333333336,0.0,18.333333333333332,1,0,0,0,0,0,0
1663,Pee,4.0,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.6,6.1,9.7,1.3,5.566666666666666,8.05,45.43333333333333,0.0,18.433333333333334,1,0,0,0,0,0,0
1664,Drink,4.0,0.4166666666666667,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0166666666666666,6.516666666666667,10.116666666666667,1.7166666666666666,5.95,8.466666666666667,45.85,0.0,18.85,1,0,0,0,0,0,0
1665,Sleep,4.25,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.016666666666667,8.516666666666667,12.116666666666667,2.65,7.95,10.466666666666667,47.85,0.0,20.85,1,0,0,0,0,0,0
1666,Pee,3.0,10.883333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,19.4,23.0,13.533333333333333,18.833333333333332,21.35,58.733333333333334,0.0,7.733333333333333,0,0,1,0,0,0,0
1667,Eat,4.0,1.4833333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.783333333333333,20.883333333333333,24.483333333333334,15.016666666666667,20.316666666666666,20.166666666666668,60.21666666666667,0.0,9.216666666666667,0,0,1,0,0,0,0
1668,Exercise,4.0,0.36666666666666664,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.15,15.25,24.85,15.383333333333333,20.683333333333334,20.533333333333335,60.583333333333336,0.0,9.583333333333334,0,0,1,0,0,0,0
1669,Poop,4.0,0.08333333333333333,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,15.233333333333333,15.333333333333334,23.35,15.466666666666667,20.766666666666666,20.616666666666667,60.666666666666664,0.0,9.666666666666666,0,0,1,0,0,0,0
1670,Exercise,4.0,0.5833333333333334,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,15.816666666666666,0.6666666666666666,23.933333333333334,16.05,21.35,21.2,61.25,0.0,10.25,0,0,1,0,0,0,0
1671,Drink,4.0,0.11666666666666667,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,15.933333333333334,0.7833333333333333,24.05,16.166666666666668,15.516666666666667,21.316666666666666,61.36666666666667,0.0,10.366666666666667,0,0,1,0,0,0,0
1672,Drink,4.0,0.5166666666666667,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,16.45,1.3,24.566666666666666,16.683333333333334,0.5166666666666667,21.833333333333332,61.88333333333333,0.0,10.883333333333333,0,0,1,0,0,0,0
1673,Drink,4.0,0.6,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,17.05,1.9,25.166666666666668,17.283333333333335,0.6,22.433333333333334,62.483333333333334,0.0,11.483333333333333,0,0,1,0,0,0,0
1674,Sleep,4.0,0.2833333333333333,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,17.333333333333332,2.183333333333333,25.45,14.916666666666666,0.8833333333333333,22.716666666666665,62.766666666666666,0.0,11.766666666666667,0,0,1,0,0,0,0
1675,Exercise,4.0,0.4,0.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,17.733333333333334,1.9166666666666667,25.85,15.316666666666666,1.2833333333333334,23.116666666666667,63.166666666666664,0.0,12.166666666666666,0,0,1,0,0,0,0
1676,Drink,4.0,0.7166666666666667,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,18.45,2.6333333333333333,26.566666666666666,16.033333333333335,1.4,23.833333333333332,63.88333333333333,0.0,12.883333333333333,0,0,1,0,0,0,0
1677,Pee,4.0,0.03333333333333333,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,5.183333333333334,2.6666666666666665,26.6,16.066666666666666,1.4333333333333333,23.866666666666667,63.916666666666664,0.0,12.916666666666666,0,0,1,0,0,0,0
1678,Drink,4.125,0.31666666666666665,0.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,5.5,2.9833333333333334,26.916666666666668,16.383333333333333,0.35,24.183333333333334,64.23333333333333,0.0,13.233333333333333,0,0,1,0,0,0,0
1679,Sleep,4.285714285714286,0.21666666666666667,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.716666666666667,3.2,27.133333333333333,1.6833333333333333,0.5666666666666667,24.4,64.45,0.0,13.45,0,0,1,0,0,0,0
1680,Pee,4.5,2.0833333333333335,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.6166666666666667,5.283333333333333,29.216666666666665,3.7666666666666666,2.65,26.483333333333334,66.53333333333333,0.0,15.533333333333333,0,0,1,0,0,0,0
1681,Drink,4.4,0.3,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.9166666666666665,5.583333333333333,29.516666666666666,4.066666666666666,2.6,26.783333333333335,66.83333333333333,0.0,15.833333333333334,0,0,1,0,0,0,0
1682,Sleep,3.5,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5833333333333335,6.25,30.183333333333334,3.05,3.2666666666666666,27.45,67.5,0.0,16.5,0,0,1,0,0,0,0
